STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,UNIT_MULT,Unit multiplier,PRICE_BASE,Price base,BASE_PER,Base period,TIMELINESS,Timeliness,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2022,,12451.47,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,1999,,5491.72,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2014,,9811.31,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2015,,10271.23,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2023,,12958.71,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,1990,,9261.22,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,1991,,8343.87,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,1992,,7635.73,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2000,,5682.96,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
DATAFLOW,OECD.ENV.EPI:DSD_GG@DF_GREEN_GROWTH(1.1),Green Growth,I,IDN,Indonesia,A,Annual,GDP_RCAP,Real GDP per capita,USD_PPP_PS,"US dollars per person, PPP converted",_T,Total - all activities,2001,,5809.98,,A,Normal value,,,0,Units,Q,Constant prices,2015,,1,"1 year lag, timely",2,Two
